Radionuclide	H-3
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	2.0E-11	Male	1.8E-11	1.7E-11	2.0E-11	1.8E-11	1.7E-11	0.0E+0	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.5E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.7E-11	1.8E-11	1.8E-11	1.7E-11	0.0E+0
		Female	2.2E-11	2.1E-11	2.4E-11	2.2E-11	2.0E-11	2.2E-11	0.0E+0	2.0E-11	2.1E-11	2.2E-11	2.1E-11	1.7E-11	2.0E-11	2.0E-11	2.0E-11	2.1E-11	2.1E-11	2.0E-11	2.1E-11	2.2E-11	2.0E-11	2.0E-11	2.1E-11	2.1E-11	0.0E+0	2.2E-11	2.2E-11	2.0E-11	2.0E-11
Ingestion,  Biogenic forms, fA=0.99	5.1E-11	Male	4.9E-11	4.2E-11	4.7E-11	4.4E-11	4.8E-11	0.0E+0	4.8E-11	4.9E-11	4.3E-11	4.3E-11	4.6E-11	4.4E-11	4.8E-11	4.8E-11	4.8E-11	4.4E-11	5.1E-11	4.8E-11	4.5E-11	4.2E-11	4.8E-11	4.9E-11	5.1E-11	4.4E-11	4.8E-11	4.3E-11	3.9E-11	4.8E-11	0.0E+0
		Female	5.7E-11	5.3E-11	5.7E-11	5.5E-11	5.9E-11	5.9E-11	0.0E+0	6.0E-11	5.4E-11	5.3E-11	5.6E-11	4.9E-11	5.9E-11	5.9E-11	5.8E-11	5.5E-11	6.1E-11	5.9E-11	5.5E-11	5.3E-11	5.8E-11	5.9E-11	6.1E-11	5.5E-11	0.0E+0	5.4E-11	5.0E-11	5.9E-11	5.9E-11
Ingestion, Relatively insoluble forms, fA=0.1	2.0E-12	Male	1.8E-12	1.7E-12	2.0E-12	1.8E-12	1.7E-12	0.0E+0	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.5E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.7E-12	1.8E-12	1.8E-12	1.7E-12	0.0E+0
		Female	2.2E-12	2.1E-12	2.4E-12	2.2E-12	2.0E-12	2.2E-12	0.0E+0	2.0E-12	2.1E-12	2.2E-12	2.1E-12	1.7E-12	2.0E-12	2.0E-12	2.0E-12	2.1E-12	2.1E-12	2.0E-12	2.1E-12	2.2E-12	2.0E-12	2.0E-12	2.1E-12	2.1E-12	0.0E+0	2.2E-12	2.2E-12	2.0E-12	2.0E-12
Ingestion, Soluble forms, fA=0.99	1.9E-11	Male	1.8E-11	1.7E-11	2.0E-11	1.7E-11	1.6E-11	0.0E+0	1.7E-11	1.6E-11	1.7E-11	1.7E-11	1.7E-11	1.5E-11	1.6E-11	1.6E-11	1.6E-11	1.7E-11	1.7E-11	1.6E-11	1.7E-11	1.7E-11	1.7E-11	1.6E-11	1.7E-11	1.7E-11	1.6E-11	1.7E-11	1.8E-11	1.6E-11	0.0E+0
		Female	2.1E-11	2.1E-11	2.4E-11	2.2E-11	2.0E-11	2.2E-11	0.0E+0	2.0E-11	2.1E-11	2.1E-11	2.1E-11	1.7E-11	2.0E-11	2.0E-11	2.0E-11	2.1E-11	2.1E-11	2.0E-11	2.1E-11	2.1E-11	2.0E-11	2.0E-11	2.1E-11	2.1E-11	0.0E+0	2.2E-11	2.2E-11	2.0E-11	2.0E-11
Inhalation, Aerosols Type F, LaNiAl tritide, fA=0.99, 0.001 µm	1.6E-11	Male	1.5E-11	1.4E-11	1.6E-11	1.5E-11	1.4E-11	0.0E+0	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.3E-11	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.5E-11	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.4E-11	1.5E-11	1.5E-11	1.4E-11	0.0E+0
		Female	1.8E-11	1.8E-11	2.0E-11	1.8E-11	1.7E-11	1.8E-11	0.0E+0	1.7E-11	1.8E-11	1.8E-11	1.7E-11	1.4E-11	1.7E-11	1.7E-11	1.7E-11	1.8E-11	1.7E-11	1.7E-11	1.7E-11	1.8E-11	1.7E-11	1.7E-11	1.7E-11	1.8E-11	0.0E+0	1.8E-11	1.8E-11	1.7E-11	1.7E-11
