Radionuclide	I-130
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
0.041667	9.2E-1	-	-	1.0E-1	5.0E-2	4.0E-2
0.083333	8.2E-1	-	-	1.2E-1	7.5E-2	3.1E-2
0.125	7.3E-1	-	-	1.1E-1	9.4E-2	2.5E-2
0.25	5.1E-1	-	-	6.7E-2	1.2E-1	1.4E-2
0.375	3.5E-1	-	-	4.0E-2	1.3E-1	8.2E-3
0.5	2.6E-1	-	-	2.5E-2	1.2E-1	4.8E-3
0.625	1.9E-1	-	-	1.5E-2	1.1E-1	2.8E-3
0.75	1.5E-1	-	-	9.5E-3	1.0E-1	1.7E-3
0.875	1.1E-1	-	-	6.1E-3	8.8E-2	1.0E-3
1	9.2E-2	1.7E-1	3.3E-4	4.0E-3	7.6E-2	6.6E-4
1.125	7.5E-2	-	-	2.7E-3	6.5E-2	4.4E-4
1.25	6.1E-2	-	-	1.9E-3	5.5E-2	3.1E-4
1.375	5.1E-2	-	-	1.3E-3	4.7E-2	2.3E-4
1.5	4.2E-2	-	-	9.1E-4	4.0E-2	1.7E-4
1.625	3.5E-2	-	-	6.5E-4	3.4E-2	1.4E-4
1.75	3.0E-2	-	-	4.7E-4	2.9E-2	1.2E-4
1.875	2.5E-2	-	-	3.4E-4	2.4E-2	1.0E-4
2	2.1E-2	2.6E-3	2.5E-4	2.5E-4	2.0E-2	8.6E-5
2.25	1.5E-2	-	-	1.3E-4	1.5E-2	6.6E-5
2.5	1.1E-2	-	-	7.2E-5	1.0E-2	5.1E-5
2.75	7.6E-3	-	-	3.9E-5	7.4E-3	3.9E-5
3	5.4E-3	3.6E-5	3.8E-5	2.2E-5	5.3E-3	3.0E-5
3.25	3.9E-3	-	-	1.3E-5	3.8E-3	2.3E-5
3.5	2.7E-3	-	-	7.4E-6	2.7E-3	1.7E-5
3.75	2.0E-3	-	-	4.6E-6	1.9E-3	1.3E-5
4	1.4E-3	1.7E-6	3.6E-6	2.9E-6	1.4E-3	9.9E-6
4.25	1.0E-3	-	-	1.9E-6	9.7E-4	7.4E-6
4.5	7.1E-4	-	-	1.3E-6	6.9E-4	5.5E-6
4.75	5.1E-4	-	-	9.2E-7	4.9E-4	4.1E-6
5	3.6E-4	4.6E-7	3.6E-7	6.5E-7	3.5E-4	3.1E-6
5.5	1.9E-4	-	-	3.4E-7	1.8E-4	1.7E-6
6	9.4E-5	1.4E-7	6.2E-8	1.8E-7	9.1E-5	9.1E-7
6.5	4.8E-5	-	-	9.9E-8	4.6E-5	4.9E-7
7	2.5E-5	4.3E-8	1.6E-8	5.3E-8	2.4E-5	2.6E-7
7.5	1.2E-5	-	-	2.9E-8	1.2E-5	1.4E-7
8	6.4E-6	1.3E-8	4.6E-9	1.5E-8	6.1E-6	7.4E-8
8.5	3.2E-6	-	-	8.1E-9	3.1E-6	3.9E-8
9	1.7E-6	3.6E-9	1.3E-9	4.3E-9	1.6E-6	2.1E-8
9.5	8.4E-7	-	-	2.3E-9	8.0E-7	1.1E-8
10	4.3E-7	1.0E-9	3.7E-10	1.2E-9	4.1E-7	5.7E-9
11	1.1E-7	2.8E-10	1.0E-10	3.3E-10	1.1E-7	1.6E-9
12	2.9E-8	-	-	-	2.7E-8	4.2E-10
13	7.5E-9	-	-	-	7.0E-9	1.1E-10
14	1.9E-9	-	-	-	1.8E-9	-
15	5.0E-10	-	-	-	4.7E-10	-
16	1.3E-10	-	-	-	1.2E-10	-
