Radionuclide	I-121
Route of Intake	Ingestion
Material	All unspecified forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
0.041667	7.2E-1	-	-	3.6E-1	1.4E-2	2.0E-2
0.083333	5.0E-1	-	-	1.5E-1	2.5E-2	1.7E-2
0.125	3.5E-1	-	-	7.5E-2	2.9E-2	1.2E-2
0.25	1.1E-1	-	-	1.7E-2	2.1E-2	3.2E-3
0.375	3.4E-2	-	-	4.6E-3	1.0E-2	8.4E-4
0.5	1.1E-2	-	-	1.3E-3	4.5E-3	2.2E-4
0.625	3.5E-3	-	-	3.6E-4	1.9E-3	5.6E-5
0.75	1.2E-3	-	-	1.0E-4	7.4E-4	1.5E-5
0.875	4.0E-4	-	-	3.1E-5	2.9E-4	4.0E-6
1	1.4E-4	2.5E-4	1.6E-6	9.4E-6	1.1E-4	1.1E-6
1.125	5.1E-5	-	-	2.9E-6	4.2E-5	3.2E-7
1.25	1.8E-5	-	-	9.1E-7	1.6E-5	9.7E-8
1.375	6.8E-6	-	-	2.9E-7	6.1E-6	3.1E-8
1.5	2.5E-6	-	-	9.1E-8	2.3E-6	1.0E-8
1.625	9.2E-7	-	-	2.9E-8	8.6E-7	3.7E-9
1.75	3.4E-7	-	-	9.4E-9	3.2E-7	1.3E-9
1.875	1.3E-7	-	-	3.0E-9	1.2E-7	5.0E-10
2	4.7E-8	7.0E-9	1.2E-9	9.8E-10	4.6E-8	1.9E-10
2.25	6.6E-9	-	-	1.0E-10	6.4E-9	-
2.5	9.2E-10	-	-	-	9.0E-10	-
2.75	1.3E-10	-	-	-	1.3E-10	-
