Radionuclide	C-14
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	1.6E-10	Male	1.7E-10	1.3E-10	1.3E-10	1.4E-10	1.6E-10	0.0E+0	1.5E-10	1.6E-10	1.4E-10	1.3E-10	1.4E-10	1.6E-10	1.6E-10	1.6E-10	1.5E-10	1.4E-10	1.3E-10	1.5E-10	1.5E-10	1.3E-10	1.5E-10	1.6E-10	1.6E-10	1.4E-10	1.6E-10	1.3E-10	1.2E-10	1.6E-10	0.0E+0
		Female	1.9E-10	1.7E-10	1.6E-10	1.7E-10	1.9E-10	1.9E-10	0.0E+0	1.9E-10	1.7E-10	1.6E-10	1.8E-10	1.7E-10	1.9E-10	1.9E-10	1.8E-10	1.7E-10	1.5E-10	1.9E-10	1.8E-10	1.6E-10	1.8E-10	1.9E-10	1.9E-10	1.7E-10	0.0E+0	1.7E-10	1.5E-10	1.9E-10	1.9E-10
Ingestion, All chemical forms, fA=0.99	1.6E-10	Male	1.7E-10	1.3E-10	1.3E-10	1.4E-10	1.5E-10	0.0E+0	1.5E-10	1.6E-10	1.3E-10	1.3E-10	1.4E-10	1.6E-10	1.5E-10	1.5E-10	1.5E-10	1.4E-10	1.2E-10	1.5E-10	1.4E-10	1.3E-10	1.5E-10	1.6E-10	1.6E-10	1.4E-10	1.5E-10	1.3E-10	1.2E-10	1.5E-10	0.0E+0
		Female	1.8E-10	1.7E-10	1.5E-10	1.7E-10	1.9E-10	1.9E-10	0.0E+0	1.9E-10	1.7E-10	1.6E-10	1.7E-10	1.7E-10	1.9E-10	1.9E-10	1.8E-10	1.7E-10	1.5E-10	1.8E-10	1.7E-10	1.6E-10	1.8E-10	1.9E-10	1.9E-10	1.7E-10	0.0E+0	1.6E-10	1.5E-10	1.9E-10	1.9E-10
Inhalation, Aerosols Type F, fA=0.99, 0.001 µm	1.4E-10	Male	1.4E-10	1.1E-10	1.6E-10	1.1E-10	1.3E-10	0.0E+0	1.3E-10	1.3E-10	1.1E-10	1.1E-10	1.2E-10	1.3E-10	1.3E-10	1.3E-10	1.3E-10	1.2E-10	4.6E-10	1.3E-10	1.2E-10	1.1E-10	1.3E-10	1.3E-10	1.4E-10	1.2E-10	1.3E-10	1.1E-10	1.0E-10	1.3E-10	0.0E+0
		Female	1.5E-10	1.4E-10	1.8E-10	1.4E-10	1.6E-10	1.6E-10	0.0E+0	1.6E-10	1.4E-10	1.4E-10	1.5E-10	1.4E-10	1.6E-10	1.6E-10	1.5E-10	1.4E-10	5.3E-10	1.5E-10	1.5E-10	1.4E-10	1.5E-10	1.6E-10	1.6E-10	1.4E-10	0.0E+0	1.4E-10	1.3E-10	1.6E-10	1.6E-10
Inhalation, Aerosols Type F, fA=0.99, 0.003 µm	1.5E-10	Male	1.4E-10	1.1E-10	1.9E-10	1.2E-10	1.3E-10	0.0E+0	1.3E-10	1.4E-10	1.2E-10	1.1E-10	1.2E-10	1.3E-10	1.3E-10	1.3E-10	1.3E-10	1.2E-10	3.2E-10	1.3E-10	1.2E-10	1.1E-10	1.3E-10	1.3E-10	1.4E-10	1.2E-10	1.3E-10	1.1E-10	1.0E-10	1.3E-10	0.0E+0
		Female	1.6E-10	1.4E-10	2.1E-10	1.4E-10	1.6E-10	1.6E-10	0.0E+0	1.6E-10	1.4E-10	1.4E-10	1.5E-10	1.5E-10	1.6E-10	1.6E-10	1.6E-10	1.5E-10	3.7E-10	1.6E-10	1.5E-10	1.4E-10	1.6E-10	1.6E-10	1.6E-10	1.5E-10	0.0E+0	1.4E-10	1.3E-10	1.6E-10	1.6E-10
Inhalation, Aerosols Type F, fA=0.99, 0.01 µm	1.4E-10	Male	1.4E-10	1.1E-10	1.6E-10	1.1E-10	1.3E-10	0.0E+0	1.3E-10	1.3E-10	1.1E-10	1.1E-10	1.2E-10	1.3E-10	1.3E-10	1.3E-10	1.3E-10	1.2E-10	1.9E-10	1.3E-10	1.2E-10	1.1E-10	1.3E-10	1.3E-10	1.4E-10	1.2E-10	1.3E-10	1.1E-10	1.0E-10	1.3E-10	0.0E+0
		Female	1.6E-10	1.4E-10	1.8E-10	1.4E-10	1.6E-10	1.6E-10	0.0E+0	1.6E-10	1.4E-10	1.4E-10	1.5E-10	1.4E-10	1.6E-10	1.6E-10	1.5E-10	1.4E-10	2.2E-10	1.6E-10	1.5E-10	1.4E-10	1.6E-10	1.6E-10	1.6E-10	1.4E-10	0.0E+0	1.4E-10	1.3E-10	1.6E-10	1.6E-10
