Radionuclide	U-235m
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	6.1E-16	Male	5.7E-16	7.1E-16	9.1E-16	6.6E-16	1.8E-16	0.0E+0	2.2E-16	1.2E-16	6.6E-16	6.9E-16	4.4E-16	9.0E-16	1.8E-16	1.8E-16	1.9E-16	5.7E-16	1.9E-16	1.8E-16	4.4E-16	3.4E-15	2.2E-16	1.4E-16	1.9E-16	5.7E-16	1.8E-16	7.1E-16	9.6E-16	1.8E-16	0.0E+0
		Female	7.5E-16	7.9E-16	1.1E-15	7.5E-16	1.9E-16	5.3E-16	0.0E+0	1.5E-16	7.5E-16	9.0E-16	5.3E-16	1.2E-15	2.1E-16	1.9E-16	2.8E-16	6.4E-16	1.9E-16	1.9E-16	5.8E-16	4.0E-15	2.7E-16	1.6E-16	1.9E-16	6.8E-16	0.0E+0	8.1E-16	1.2E-15	1.9E-16	1.9E-16
Ingestion, Soluble forms, fA=2E-2	5.8E-19	Male	5.4E-19	6.8E-19	8.6E-19	6.3E-19	1.8E-19	0.0E+0	2.1E-19	1.2E-19	6.3E-19	6.6E-19	4.2E-19	8.6E-19	1.8E-19	1.8E-19	1.8E-19	5.4E-19	1.8E-19	1.8E-19	4.2E-19	3.2E-18	2.1E-19	1.3E-19	1.8E-19	5.4E-19	1.8E-19	6.7E-19	9.1E-19	1.8E-19	0.0E+0
		Female	7.1E-19	7.5E-19	1.1E-18	7.2E-19	1.8E-19	5.1E-19	0.0E+0	1.5E-19	7.2E-19	8.6E-19	5.0E-19	1.1E-18	2.0E-19	1.8E-19	2.6E-19	6.1E-19	1.8E-19	1.8E-19	5.5E-19	3.8E-18	2.6E-19	1.6E-19	1.8E-19	6.5E-19	0.0E+0	7.7E-19	1.1E-18	1.8E-19	1.8E-19
Ingestion, Relatively insoluble forms, fA=2E-3	5.9E-20	Male	5.4E-20	6.8E-20	8.6E-20	6.3E-20	1.9E-20	0.0E+0	2.1E-20	1.4E-20	6.3E-20	7.0E-20	4.3E-20	9.3E-20	1.9E-20	1.9E-20	1.8E-20	5.5E-20	1.9E-20	1.9E-20	4.3E-20	3.3E-19	2.3E-20	1.5E-20	2.0E-20	5.5E-20	1.9E-20	6.8E-20	9.0E-20	1.9E-20	0.0E+0
		Female	7.1E-20	7.6E-20	1.1E-19	7.2E-20	2.0E-20	5.0E-20	0.0E+0	1.6E-20	7.2E-20	9.1E-20	5.1E-20	1.2E-19	2.2E-20	2.0E-20	2.6E-20	6.2E-20	2.0E-20	2.0E-20	5.6E-20	3.9E-19	2.8E-20	1.8E-20	2.0E-20	6.6E-20	0.0E+0	7.8E-20	1.1E-19	2.0E-20	2.0E-20
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.001 µm	3.7E-17	Male	3.2E-17	4.0E-17	7.5E-17	3.7E-17	1.0E-17	0.0E+0	1.3E-17	7.0E-18	3.7E-17	3.9E-17	2.5E-17	5.1E-17	1.0E-17	1.0E-17	1.1E-17	3.2E-17	1.0E-17	1.0E-17	2.5E-17	1.9E-16	1.2E-17	7.7E-18	1.0E-17	3.2E-17	1.0E-17	4.0E-17	5.4E-17	1.0E-17	0.0E+0
		Female	4.2E-17	4.4E-17	9.3E-17	4.2E-17	1.0E-17	3.0E-17	0.0E+0	8.5E-18	4.2E-17	5.1E-17	3.0E-17	6.7E-17	1.2E-17	1.0E-17	1.6E-17	3.6E-17	1.1E-17	1.0E-17	3.3E-17	2.3E-16	1.5E-17	9.3E-18	1.1E-17	3.8E-17	0.0E+0	4.6E-17	6.5E-17	1.0E-17	1.0E-17
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.003 µm	1.7E-16	Male	6.0E-17	7.6E-17	8.8E-16	7.0E-17	1.9E-17	0.0E+0	2.4E-17	1.3E-17	7.0E-17	7.3E-17	4.7E-17	9.5E-17	1.9E-17	1.9E-17	2.0E-17	6.0E-17	2.0E-17	1.9E-17	4.7E-17	3.6E-16	2.3E-17	1.4E-17	2.0E-17	6.0E-17	1.9E-17	7.5E-17	1.0E-16	1.9E-17	0.0E+0
		Female	7.9E-17	8.4E-17	1.1E-15	8.0E-17	2.0E-17	5.7E-17	0.0E+0	1.6E-17	8.0E-17	9.5E-17	5.6E-17	1.3E-16	2.2E-17	2.0E-17	2.9E-17	6.8E-17	2.0E-17	2.0E-17	6.1E-17	4.2E-16	2.9E-17	1.7E-17	2.0E-17	7.2E-17	0.0E+0	8.6E-17	1.2E-16	2.0E-17	2.0E-17
