Radionuclide	Th-226
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	7.5E-9	Male	6.8E-9	9.6E-9	1.2E-8	8.8E-9	1.9E-9	0.0E+0	2.4E-9	1.0E-9	8.8E-9	9.5E-9	5.6E-9	7.7E-9	1.9E-9	1.9E-9	2.0E-9	7.5E-9	1.8E-9	1.9E-9	5.7E-9	1.2E-8	2.4E-9	1.2E-9	1.9E-9	7.5E-9	1.9E-9	9.5E-9	1.3E-8	1.9E-9	0.0E+0
		Female	8.9E-9	1.1E-8	1.5E-8	1.0E-8	1.8E-9	6.9E-9	0.0E+0	1.3E-9	1.0E-8	1.2E-8	6.7E-9	1.0E-8	2.1E-9	1.8E-9	2.8E-9	8.4E-9	1.7E-9	1.8E-9	7.5E-9	1.4E-8	3.0E-9	1.5E-9	1.8E-9	9.0E-9	0.0E+0	1.1E-8	1.6E-8	1.8E-9	1.8E-9
Ingestion, All forms, fA=5E-4	3.6E-12	Male	4.5E-12	3.2E-12	3.8E-12	5.0E-12	7.2E-13	0.0E+0	4.0E-12	4.3E-13	2.9E-12	5.5E-12	1.8E-12	1.7E-11	6.6E-13	6.6E-13	2.3E-12	2.5E-12	6.5E-13	8.4E-13	2.0E-12	7.4E-12	9.7E-13	4.8E-13	7.2E-13	2.7E-12	6.7E-13	3.3E-12	5.8E-12	6.8E-13	0.0E+0
		Female	5.2E-12	3.4E-12	4.8E-12	5.4E-12	6.8E-13	7.1E-12	0.0E+0	5.7E-13	3.3E-12	7.1E-12	2.1E-12	1.8E-11	7.5E-13	6.5E-13	3.3E-12	2.9E-12	6.4E-13	8.8E-13	2.5E-12	8.8E-12	1.2E-12	5.9E-13	7.3E-13	3.3E-12	0.0E+0	3.8E-12	7.2E-12	6.6E-13	7.4E-13
Inhalation, Aerosols Type F, fA=5E-4, 0.001 µm	1.1E-7	Male	1.3E-9	1.9E-9	8.3E-7	1.7E-9	3.6E-10	0.0E+0	4.7E-10	2.0E-10	1.7E-9	1.8E-9	1.1E-9	1.5E-9	3.6E-10	3.6E-10	3.9E-10	1.5E-9	9.4E-7	3.6E-10	1.1E-9	2.3E-9	4.7E-10	2.3E-10	3.6E-10	1.5E-9	3.6E-10	1.8E-9	2.5E-9	3.6E-10	0.0E+0
		Female	1.7E-9	2.0E-9	9.0E-7	1.9E-9	3.4E-10	1.3E-9	0.0E+0	2.4E-10	1.9E-9	2.4E-9	1.3E-9	2.0E-9	4.1E-10	3.4E-10	5.5E-10	1.6E-9	1.1E-6	3.4E-10	1.4E-9	2.7E-9	5.8E-10	2.8E-10	3.4E-10	1.7E-9	0.0E+0	2.1E-9	3.1E-9	3.4E-10	3.4E-10
Inhalation, Aerosols Type F, fA=5E-4, 0.003 µm	1.7E-7	Male	2.3E-9	3.2E-9	1.3E-6	2.9E-9	6.2E-10	0.0E+0	8.1E-10	3.4E-10	2.9E-9	3.2E-9	1.9E-9	2.5E-9	6.2E-10	6.2E-10	6.6E-10	2.5E-9	5.7E-7	6.2E-10	1.9E-9	3.9E-9	8.0E-10	3.9E-10	6.3E-10	2.5E-9	6.2E-10	3.2E-9	4.4E-9	6.2E-10	0.0E+0
		Female	2.9E-9	3.5E-9	1.4E-6	3.3E-9	5.8E-10	2.3E-9	0.0E+0	4.2E-10	3.3E-9	4.1E-9	2.2E-9	3.4E-9	7.0E-10	5.8E-10	9.5E-10	2.8E-9	6.6E-7	5.8E-10	2.5E-9	4.6E-9	1.0E-9	4.8E-10	5.9E-10	3.0E-9	0.0E+0	3.6E-9	5.3E-9	5.8E-10	5.8E-10
Inhalation, Aerosols Type F, fA=5E-4, 0.01 µm	1.0E-7	Male	3.0E-9	4.3E-9	7.8E-7	3.9E-9	8.3E-10	0.0E+0	1.1E-9	4.5E-10	3.9E-9	4.2E-9	2.5E-9	3.4E-9	8.2E-10	8.3E-10	8.8E-10	3.3E-9	2.2E-7	8.3E-10	2.5E-9	5.2E-9	1.1E-9	5.2E-10	8.4E-10	3.3E-9	8.3E-10	4.2E-9	5.8E-9	8.3E-10	0.0E+0
		Female	3.9E-9	4.7E-9	8.3E-7	4.4E-9	7.8E-10	3.1E-9	0.0E+0	5.6E-10	4.4E-9	5.5E-9	3.0E-9	4.5E-9	9.3E-10	7.8E-10	1.3E-9	3.7E-9	2.5E-7	7.8E-10	3.3E-9	6.2E-9	1.3E-9	6.4E-10	7.8E-10	4.0E-9	0.0E+0	4.8E-9	7.1E-9	7.8E-10	7.8E-10
