Radionuclide	Ra-223
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	2.0E-7	Male	5.9E-7	4.9E-8	4.4E-8	4.6E-8	4.1E-8	0.0E+0	4.0E-8	4.1E-8	4.6E-8	6.9E-7	4.3E-8	4.3E-6	4.1E-8	4.1E-8	3.9E-8	4.5E-8	3.3E-8	4.1E-8	4.4E-8	5.1E-7	4.1E-8	4.0E-8	4.3E-8	4.5E-8	4.1E-8	4.6E-8	4.8E-8	4.1E-8	0.0E+0
		Female	7.3E-7	5.8E-8	5.3E-8	5.5E-8	4.8E-8	4.8E-8	0.0E+0	4.8E-8	5.5E-8	9.0E-7	5.2E-8	5.5E-6	4.8E-8	4.8E-8	5.6E-8	5.4E-8	3.8E-8	4.8E-8	5.3E-8	6.1E-7	4.9E-8	4.7E-8	4.9E-8	5.4E-8	0.0E+0	5.6E-8	5.8E-8	4.8E-8	4.8E-8
Ingestion, All forms, fA=0.2	4.1E-8	Male	1.2E-7	1.3E-8	9.1E-9	1.0E-8	8.2E-9	0.0E+0	8.0E-9	8.2E-9	9.4E-9	1.4E-7	8.8E-9	8.5E-7	8.2E-9	8.2E-9	7.9E-9	9.2E-9	6.6E-9	8.5E-9	8.9E-9	1.0E-7	8.4E-9	8.1E-9	8.6E-9	9.3E-9	8.2E-9	1.0E-8	9.9E-9	8.2E-9	0.0E+0
		Female	1.5E-7	1.5E-8	1.1E-8	1.2E-8	9.5E-9	9.9E-9	0.0E+0	9.8E-9	1.1E-8	1.8E-7	1.1E-8	1.1E-6	9.6E-9	9.6E-9	1.1E-8	1.1E-8	7.6E-9	9.7E-9	1.1E-8	1.2E-7	1.0E-8	9.5E-9	9.9E-9	1.1E-8	0.0E+0	1.2E-8	1.2E-8	9.6E-9	1.0E-8
Inhalation, Aerosols Type F, Nitrate, fA=0.2, 0.001 µm	6.5E-7	Male	1.9E-7	1.8E-8	4.2E-6	1.6E-8	1.3E-8	0.0E+0	1.3E-8	1.3E-8	1.5E-8	2.3E-7	1.4E-8	1.4E-6	1.3E-8	1.3E-8	1.3E-8	1.5E-8	6.1E-6	1.4E-8	1.4E-8	1.7E-7	1.4E-8	1.3E-8	1.4E-8	1.5E-8	1.3E-8	1.6E-8	1.6E-8	1.3E-8	0.0E+0
		Female	2.4E-7	2.1E-8	4.5E-6	1.9E-8	1.6E-8	1.6E-8	0.0E+0	1.6E-8	1.8E-8	3.0E-7	1.7E-8	1.8E-6	1.6E-8	1.6E-8	1.8E-8	1.8E-8	7.1E-6	1.6E-8	1.8E-8	2.0E-7	1.6E-8	1.6E-8	1.6E-8	1.8E-8	0.0E+0	1.9E-8	2.0E-8	1.6E-8	1.6E-8
Inhalation, Aerosols Type F, Nitrate, fA=0.2, 0.003 µm	1.1E-6	Male	3.1E-7	2.8E-8	8.0E-6	2.6E-8	2.2E-8	0.0E+0	2.1E-8	2.2E-8	2.5E-8	3.7E-7	2.4E-8	2.3E-6	2.2E-8	2.2E-8	2.1E-8	2.5E-8	3.7E-6	2.2E-8	2.4E-8	2.8E-7	2.2E-8	2.2E-8	2.3E-8	2.5E-8	2.2E-8	2.6E-8	2.7E-8	2.2E-8	0.0E+0
		Female	3.9E-7	3.3E-8	8.5E-6	3.0E-8	2.6E-8	2.6E-8	0.0E+0	2.6E-8	3.0E-8	4.8E-7	2.8E-8	2.9E-6	2.6E-8	2.6E-8	3.0E-8	2.9E-8	4.3E-6	2.6E-8	2.9E-8	3.3E-7	2.7E-8	2.6E-8	2.7E-8	3.0E-8	0.0E+0	3.1E-8	3.2E-8	2.6E-8	2.6E-8
Inhalation, Aerosols Type F, Nitrate, fA=0.2, 0.01 µm	8.0E-7	Male	4.2E-7	3.6E-8	5.2E-6	3.4E-8	2.9E-8	0.0E+0	2.9E-8	2.9E-8	3.4E-8	5.0E-7	3.2E-8	3.1E-6	3.0E-8	2.9E-8	2.8E-8	3.3E-8	1.5E-6	3.0E-8	3.2E-8	3.7E-7	3.0E-8	2.9E-8	3.1E-8	3.3E-8	3.0E-8	3.4E-8	3.5E-8	3.0E-8	0.0E+0
		Female	5.2E-7	4.3E-8	5.5E-6	4.0E-8	3.4E-8	3.5E-8	0.0E+0	3.5E-8	4.0E-8	6.5E-7	3.8E-8	3.9E-6	3.5E-8	3.4E-8	4.1E-8	3.9E-8	1.7E-6	3.5E-8	3.8E-8	4.4E-7	3.5E-8	3.4E-8	3.6E-8	3.9E-8	0.0E+0	4.1E-8	4.3E-8	3.4E-8	3.5E-8
