Radionuclide	H-3
Route of Intake	Ingestion
Material	Soluble forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*
74	1.0E-2	2.5E-4	2.0E-5	2.4E-4
75	9.7E-3	2.4E-4	1.9E-5	2.3E-4
76	9.3E-3	2.2E-4	1.8E-5	2.2E-4
77	8.9E-3	2.1E-4	1.7E-5	2.1E-4
78	8.5E-3	2.0E-4	1.6E-5	2.0E-4
79	8.2E-3	1.9E-4	1.5E-5	1.9E-4
80	7.9E-3	1.8E-4	1.4E-5	1.8E-4
81	7.6E-3	1.7E-4	1.3E-5	1.7E-4
82	7.3E-3	1.6E-4	1.2E-5	1.7E-4
83	7.0E-3	1.5E-4	1.2E-5	1.6E-4
84	6.8E-3	1.4E-4	1.1E-5	1.5E-4
85	6.5E-3	1.3E-4	1.0E-5	1.5E-4
86	6.3E-3	1.2E-4	9.8E-6	1.4E-4
87	6.1E-3	1.2E-4	9.2E-6	1.4E-4
88	5.9E-3	1.1E-4	8.7E-6	1.3E-4
89	5.7E-3	1.0E-4	8.2E-6	1.3E-4
90	5.5E-3	9.9E-5	7.8E-6	1.2E-4
91	5.3E-3	9.3E-5	7.3E-6	1.2E-4
92	5.2E-3	8.8E-5	6.9E-6	1.1E-4
93	5.0E-3	8.4E-5	6.6E-6	1.1E-4
94	4.9E-3	7.9E-5	6.2E-6	1.1E-4
95	4.7E-3	7.5E-5	5.9E-6	1.0E-4
96	4.6E-3	7.2E-5	5.6E-6	9.9E-5
97	4.5E-3	6.8E-5	5.3E-6	9.6E-5
98	4.4E-3	6.5E-5	5.1E-6	9.3E-5
99	4.3E-3	6.2E-5	4.8E-6	9.0E-5
100	4.1E-3	5.9E-5	4.6E-6	8.7E-5
110	3.3E-3	3.7E-5	2.9E-6	6.7E-5
120	2.8E-3	2.6E-5	2.0E-6	5.5E-5
130	2.4E-3	1.9E-5	1.4E-6	4.6E-5
140	2.1E-3	1.4E-5	1.1E-6	4.0E-5
150	1.8E-3	1.1E-5	8.6E-7	3.5E-5
160	1.6E-3	9.4E-6	7.0E-7	3.1E-5
170	1.5E-3	7.8E-6	5.8E-7	2.8E-5
180	1.4E-3	6.6E-6	4.9E-7	2.5E-5
190	1.2E-3	5.6E-6	4.2E-7	2.3E-5
200	1.1E-3	4.8E-6	3.6E-7	2.1E-5
210	1.1E-3	4.1E-6	3.1E-7	2.0E-5
220	9.9E-4	3.6E-6	2.6E-7	1.8E-5
230	9.3E-4	3.1E-6	2.3E-7	1.7E-5
240	8.8E-4	2.7E-6	2.0E-7	1.6E-5
250	8.3E-4	2.4E-6	1.8E-7	1.5E-5
260	7.9E-4	2.1E-6	1.5E-7	1.4E-5
270	7.5E-4	1.8E-6	1.4E-7	1.4E-5
280	7.2E-4	1.6E-6	1.2E-7	1.3E-5
290	6.9E-4	1.5E-6	1.1E-7	1.3E-5
300	6.6E-4	1.3E-6	9.8E-8	1.2E-5
310	6.4E-4	1.2E-6	8.8E-8	1.2E-5
320	6.2E-4	1.1E-6	8.0E-8	1.1E-5
330	6.0E-4	1.0E-6	7.4E-8	1.1E-5
340	5.8E-4	9.2E-7	6.8E-8	1.0E-5
350	5.6E-4	8.5E-7	6.3E-8	1.0E-5
360	5.5E-4	7.9E-7	5.8E-8	9.8E-6
365	5.4E-4	7.7E-7	5.6E-8	9.7E-6
370	5.3E-4	7.4E-7	5.5E-8	9.6E-6
380	5.2E-4	7.0E-7	5.1E-8	9.3E-6
390	5.0E-4	6.6E-7	4.8E-8	9.1E-6
400	4.9E-4	6.3E-7	4.6E-8	8.8E-6
410	4.8E-4	6.0E-7	4.4E-8	8.6E-6
420	4.7E-4	5.7E-7	4.2E-8	8.4E-6
430	4.6E-4	5.5E-7	4.0E-8	8.2E-6
440	4.5E-4	5.2E-7	3.8E-8	8.0E-6
450	4.4E-4	5.0E-7	3.7E-8	7.9E-6
460	4.3E-4	4.9E-7	3.6E-8	7.7E-6
470	4.2E-4	4.7E-7	3.4E-8	7.5E-6
480	4.1E-4	4.6E-7	3.3E-8	7.3E-6
490	4.0E-4	4.4E-7	3.2E-8	7.2E-6
500	3.9E-4	4.3E-7	3.1E-8	7.0E-6
510	3.8E-4	4.2E-7	3.1E-8	6.9E-6
520	3.8E-4	4.1E-7	3.0E-8	6.7E-6
530	3.7E-4	4.0E-7	2.9E-8	6.6E-6
540	3.6E-4	3.9E-7	2.8E-8	6.5E-6
550	3.5E-4	3.8E-7	2.8E-8	6.3E-6
560	3.5E-4	3.7E-7	2.7E-8	6.2E-6
570	3.4E-4	3.6E-7	2.6E-8	6.1E-6
580	3.3E-4	3.5E-7	2.6E-8	5.9E-6
590	3.2E-4	3.4E-7	2.5E-8	5.8E-6
600	3.2E-4	3.4E-7	2.5E-8	5.7E-6
610	3.1E-4	3.3E-7	2.4E-8	5.6E-6
620	3.1E-4	3.2E-7	2.3E-8	5.5E-6
630	3.0E-4	3.1E-7	2.3E-8	5.4E-6
640	2.9E-4	3.1E-7	2.2E-8	5.2E-6
650	2.9E-4	3.0E-7	2.2E-8	5.1E-6
660	2.8E-4	2.9E-7	2.2E-8	5.0E-6
670	2.8E-4	2.9E-7	2.1E-8	4.9E-6
680	2.7E-4	2.8E-7	2.1E-8	4.8E-6
690	2.6E-4	2.8E-7	2.0E-8	4.7E-6
700	2.6E-4	2.7E-7	2.0E-8	4.6E-6
710	2.5E-4	2.7E-7	1.9E-8	4.5E-6
720	2.5E-4	2.6E-7	1.9E-8	4.5E-6
730	2.4E-4	2.5E-7	1.9E-8	4.4E-6
740	2.4E-4	2.5E-7	1.8E-8	4.3E-6
750	2.3E-4	2.4E-7	1.8E-8	4.2E-6
760	2.3E-4	2.4E-7	1.7E-8	4.1E-6
770	2.2E-4	2.3E-7	1.7E-8	4.0E-6
780	2.2E-4	2.3E-7	1.7E-8	3.9E-6
790	2.2E-4	2.2E-7	1.6E-8	3.9E-6
800	2.1E-4	2.2E-7	1.6E-8	3.8E-6
810	2.1E-4	2.2E-7	1.6E-8	3.7E-6
820	2.0E-4	2.1E-7	1.5E-8	3.6E-6
830	2.0E-4	2.1E-7	1.5E-8	3.6E-6
840	1.9E-4	2.0E-7	1.5E-8	3.5E-6
850	1.9E-4	2.0E-7	1.4E-8	3.4E-6
860	1.9E-4	1.9E-7	1.4E-8	3.3E-6
870	1.8E-4	1.9E-7	1.4E-8	3.3E-6
880	1.8E-4	1.9E-7	1.4E-8	3.2E-6
890	1.8E-4	1.8E-7	1.3E-8	3.1E-6
900	1.7E-4	1.8E-7	1.3E-8	3.1E-6
910	1.7E-4	1.8E-7	1.3E-8	3.0E-6
920	1.6E-4	1.7E-7	1.3E-8	3.0E-6
930	1.6E-4	1.7E-7	1.2E-8	2.9E-6
940	1.6E-4	1.7E-7	1.2E-8	2.8E-6
950	1.5E-4	1.6E-7	1.2E-8	2.8E-6
960	1.5E-4	1.6E-7	1.2E-8	2.7E-6
970	1.5E-4	1.6E-7	1.1E-8	2.7E-6
980	1.5E-4	1.5E-7	1.1E-8	2.6E-6
990	1.4E-4	1.5E-7	1.1E-8	2.6E-6
1000	1.4E-4	1.5E-7	1.1E-8	2.5E-6
1010	1.4E-4	1.4E-7	1.0E-8	2.5E-6
1020	1.3E-4	1.4E-7	1.0E-8	2.4E-6
1030	1.3E-4	1.4E-7	1.0E-8	2.4E-6
1040	1.3E-4	1.3E-7	9.8E-9	2.3E-6
1050	1.3E-4	1.3E-7	9.6E-9	2.3E-6
1060	1.2E-4	1.3E-7	9.4E-9	2.2E-6
1070	1.2E-4	1.3E-7	9.2E-9	2.2E-6
1080	1.2E-4	1.2E-7	9.0E-9	2.1E-6
1090	1.2E-4	1.2E-7	8.9E-9	2.1E-6
1095	1.2E-4	1.2E-7	8.8E-9	2.1E-6
1100	1.1E-4	1.2E-7	8.7E-9	2.0E-6
1200	9.3E-5	9.7E-8	7.1E-9	1.7E-6
1300	7.6E-5	7.9E-8	5.8E-9	1.4E-6
1400	6.2E-5	6.4E-8	4.7E-9	1.1E-6
1500	5.0E-5	5.2E-8	3.8E-9	9.0E-7
1600	4.1E-5	4.3E-8	3.1E-9	7.3E-7
1700	3.3E-5	3.5E-8	2.5E-9	6.0E-7
1800	2.7E-5	2.8E-8	2.1E-9	4.9E-7
1900	2.2E-5	2.3E-8	1.7E-9	4.0E-7
2000	1.8E-5	1.9E-8	1.4E-9	3.2E-7
2100	1.5E-5	1.5E-8	1.1E-9	2.6E-7
2200	1.2E-5	1.2E-8	9.1E-10	2.1E-7
2300	9.7E-6	1.0E-8	7.4E-10	1.7E-7
2400	7.9E-6	8.3E-9	6.0E-10	1.4E-7
2500	6.4E-6	6.7E-9	4.9E-10	1.2E-7
2600	5.2E-6	5.5E-9	4.0E-10	9.4E-8
2700	4.3E-6	4.5E-9	3.3E-10	7.7E-8
2800	3.5E-6	3.6E-9	2.7E-10	6.2E-8
2900	2.8E-6	3.0E-9	2.2E-10	5.1E-8
3000	2.3E-6	2.4E-9	1.8E-10	4.1E-8
3100	1.9E-6	2.0E-9	1.4E-10	3.3E-8
3200	1.5E-6	1.6E-9	1.2E-10	2.7E-8
3300	1.2E-6	1.3E-9	-	2.2E-8
3400	1.0E-6	1.1E-9	-	1.8E-8
3500	8.3E-7	8.6E-10	-	1.5E-8
3600	6.7E-7	7.0E-10	-	1.2E-8
3650	6.1E-7	6.4E-10	-	1.1E-8
4000	3.0E-7	3.1E-10	-	5.3E-9
5000	3.8E-8	-	-	6.8E-10
6000	4.9E-9	-	-	-
7000	6.3E-10	-	-	-
