Radionuclide	Ac-227
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	3.5E-4	Male	5.2E-4	1.5E-5	1.4E-5	1.5E-5	1.4E-5	0.0E+0	6.0E-4	1.4E-5	1.5E-5	3.6E-3	1.5E-5	3.8E-3	1.4E-5	1.4E-5	5.9E-5	1.5E-5	1.2E-5	1.6E-5	1.5E-5	5.0E-4	1.4E-5	1.4E-5	1.5E-5	1.5E-5	1.4E-5	1.5E-5	1.1E-4	1.4E-5	0.0E+0
		Female	6.5E-4	1.8E-5	1.7E-5	1.8E-5	1.7E-5	6.0E-4	0.0E+0	1.7E-5	1.8E-5	4.7E-3	1.7E-5	4.8E-3	1.7E-5	1.7E-5	8.5E-5	1.8E-5	1.4E-5	1.8E-5	1.8E-5	5.9E-4	1.7E-5	1.7E-5	1.8E-5	1.8E-5	0.0E+0	1.8E-5	1.4E-4	1.7E-5	1.7E-5
Ingestion, All compounds, fA=5E-4	1.7E-7	Male	2.6E-7	7.8E-9	6.9E-9	7.5E-9	7.1E-9	0.0E+0	3.0E-7	7.1E-9	7.5E-9	1.8E-6	7.3E-9	1.9E-6	7.2E-9	7.1E-9	3.0E-8	7.6E-9	6.0E-9	7.9E-9	7.3E-9	2.5E-7	7.2E-9	7.1E-9	7.5E-9	7.5E-9	7.1E-9	7.5E-9	5.6E-8	7.2E-9	0.0E+0
		Female	3.3E-7	9.3E-9	8.4E-9	9.1E-9	8.3E-9	3.0E-7	0.0E+0	8.4E-9	9.1E-9	2.3E-6	8.7E-9	2.4E-6	8.5E-9	8.4E-9	4.3E-8	9.2E-9	6.9E-9	9.2E-9	8.8E-9	3.0E-7	8.5E-9	8.4E-9	8.8E-9	9.0E-9	0.0E+0	9.1E-9	6.9E-8	8.4E-9	8.4E-9
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 0.001 µm	9.1E-5	Male	4.0E-5	1.2E-6	5.1E-4	1.1E-6	1.1E-6	0.0E+0	4.6E-5	1.1E-6	1.1E-6	2.8E-4	1.1E-6	2.9E-4	1.1E-6	1.1E-6	4.5E-6	1.2E-6	1.7E-4	1.2E-6	1.1E-6	3.8E-5	1.1E-6	1.1E-6	1.1E-6	1.1E-6	1.1E-6	1.1E-6	8.6E-6	1.1E-6	0.0E+0
		Female	5.0E-5	1.4E-6	5.4E-4	1.4E-6	1.3E-6	4.6E-5	0.0E+0	1.3E-6	1.4E-6	3.6E-4	1.3E-6	3.7E-4	1.3E-6	1.3E-6	6.5E-6	1.4E-6	1.9E-4	1.4E-6	1.4E-6	4.5E-5	1.3E-6	1.3E-6	1.3E-6	1.4E-6	0.0E+0	1.4E-6	1.1E-5	1.3E-6	1.3E-6
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 0.003 µm	2.6E-4	Male	1.6E-4	4.7E-6	1.3E-3	4.6E-6	4.3E-6	0.0E+0	1.8E-4	4.3E-6	4.6E-6	1.1E-3	4.4E-6	1.2E-3	4.4E-6	4.3E-6	1.8E-5	4.6E-6	1.2E-4	4.8E-6	4.5E-6	1.5E-4	4.4E-6	4.3E-6	4.6E-6	4.6E-6	4.3E-6	4.5E-6	3.4E-5	4.4E-6	0.0E+0
		Female	2.0E-4	5.6E-6	1.3E-3	5.5E-6	5.1E-6	1.8E-4	0.0E+0	5.1E-6	5.5E-6	1.4E-3	5.3E-6	1.5E-3	5.2E-6	5.1E-6	2.6E-5	5.6E-6	1.4E-4	5.6E-6	5.4E-6	1.8E-4	5.2E-6	5.1E-6	5.4E-6	5.5E-6	0.0E+0	5.5E-6	4.2E-5	5.1E-6	5.1E-6
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 0.01 µm	3.2E-4	Male	3.1E-4	9.3E-6	9.1E-4	9.0E-6	8.6E-6	0.0E+0	3.6E-4	8.6E-6	9.0E-6	2.2E-3	8.8E-6	2.3E-3	8.6E-6	8.6E-6	3.6E-5	9.1E-6	5.7E-5	9.5E-6	8.8E-6	3.0E-4	8.7E-6	8.6E-6	9.0E-6	9.0E-6	8.6E-6	9.0E-6	6.8E-5	8.6E-6	0.0E+0
		Female	3.9E-4	1.1E-5	9.6E-4	1.1E-5	1.0E-5	3.6E-4	0.0E+0	1.0E-5	1.1E-5	2.8E-3	1.0E-5	2.9E-3	1.0E-5	1.0E-5	5.1E-5	1.1E-5	6.6E-5	1.1E-5	1.1E-5	3.6E-4	1.0E-5	1.0E-5	1.1E-5	1.1E-5	0.0E+0	1.1E-5	8.3E-5	1.0E-5	1.0E-5
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 0.03 µm	2.3E-4	Male	2.5E-4	7.4E-6	4.9E-4	7.2E-6	6.9E-6	0.0E+0	2.9E-4	6.9E-6	7.2E-6	1.7E-3	7.0E-6	1.8E-3	6.9E-6	6.9E-6	2.9E-5	7.3E-6	3.0E-5	7.6E-6	7.1E-6	2.4E-4	6.9E-6	6.8E-6	7.2E-6	7.2E-6	6.9E-6	7.2E-6	5.4E-5	6.9E-6	0.0E+0
		Female	3.1E-4	8.9E-6	5.2E-4	8.7E-6	8.0E-6	2.9E-4	0.0E+0	8.1E-6	8.7E-6	2.3E-3	8.4E-6	2.3E-3	8.1E-6	8.1E-6	4.1E-5	8.8E-6	3.5E-5	8.9E-6	8.5E-6	2.8E-4	8.2E-6	8.1E-6	8.5E-6	8.6E-6	0.0E+0	8.7E-6	6.6E-5	8.1E-6	8.1E-6
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 0.1 µm	1.1E-4	Male	1.2E-4	3.7E-6	2.3E-4	3.6E-6	3.4E-6	0.0E+0	1.4E-4	3.4E-6	3.6E-6	8.6E-4	3.5E-6	9.1E-4	3.4E-6	3.4E-6	1.4E-5	3.6E-6	1.9E-5	3.8E-6	3.5E-6	1.2E-4	3.4E-6	3.4E-6	3.6E-6	3.6E-6	3.4E-6	3.6E-6	2.7E-5	3.4E-6	0.0E+0
		Female	1.6E-4	4.4E-6	2.5E-4	4.3E-6	4.0E-6	1.4E-4	0.0E+0	4.0E-6	4.3E-6	1.1E-3	4.2E-6	1.2E-3	4.1E-6	4.0E-6	2.0E-5	4.4E-6	2.1E-5	4.4E-6	4.2E-6	1.4E-4	4.1E-6	4.0E-6	4.2E-6	4.3E-6	0.0E+0	4.3E-6	3.3E-5	4.0E-6	4.0E-6
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 0.3 µm	7.8E-5	Male	8.8E-5	2.6E-6	1.6E-4	2.5E-6	2.4E-6	0.0E+0	1.0E-4	2.4E-6	2.5E-6	6.1E-4	2.5E-6	6.4E-4	2.4E-6	2.4E-6	1.0E-5	2.6E-6	2.5E-5	2.7E-6	2.5E-6	8.5E-5	2.4E-6	2.4E-6	2.5E-6	2.5E-6	2.4E-6	2.5E-6	1.9E-5	2.4E-6	0.0E+0
		Female	1.1E-4	3.1E-6	1.7E-4	3.1E-6	2.8E-6	1.0E-4	0.0E+0	2.9E-6	3.1E-6	8.0E-4	3.0E-6	8.2E-4	2.9E-6	2.9E-6	1.4E-5	3.1E-6	2.9E-5	3.1E-6	3.0E-6	1.0E-4	2.9E-6	2.8E-6	3.0E-6	3.1E-6	0.0E+0	3.1E-6	2.3E-5	2.9E-6	2.9E-6
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 1 µm	5.4E-5	Male	6.2E-5	1.8E-6	9.6E-5	1.8E-6	1.7E-6	0.0E+0	7.2E-5	1.7E-6	1.8E-6	4.3E-4	1.7E-6	4.5E-4	1.7E-6	1.7E-6	7.1E-6	1.8E-6	7.3E-5	1.9E-6	1.8E-6	6.0E-5	1.7E-6	1.7E-6	1.8E-6	1.8E-6	1.7E-6	1.8E-6	1.4E-5	1.7E-6	0.0E+0
		Female	7.8E-5	2.2E-6	1.0E-4	2.2E-6	2.0E-6	7.2E-5	0.0E+0	2.0E-6	2.2E-6	5.6E-4	2.1E-6	5.8E-4	2.0E-6	2.0E-6	1.0E-5	2.2E-6	8.4E-5	2.2E-6	2.1E-6	7.1E-5	2.0E-6	2.0E-6	2.1E-6	2.1E-6	0.0E+0	2.2E-6	1.6E-5	2.0E-6	2.0E-6
Inhalation, Aerosols Type F, Citrate, fA=5E-4, 3 µm	4.3E-5	Male	4.7E-5	1.4E-6	8.6E-5	1.3E-6	1.3E-6	0.0E+0	5.4E-5	1.3E-6	1.3E-6	3.2E-4	1.3E-6	3.4E-4	1.3E-6	1.3E-6	5.3E-6	1.4E-6	1.3E-4	1.4E-6	1.3E-6	4.5E-5	1.3E-6	1.3E-6	1.3E-6	1.3E-6	1.3E-6	1.3E-6	1.0E-5	1.3E-6	0.0E+0
