Radionuclide	Sr-85m
Route of Intake	Ingestion
Material	All other chemical forms, fA=0.25
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	5.4E-1	-	-	5.3E-1	1.4E-3
0.083333	2.9E-1	-	-	2.7E-1	2.7E-3
0.125	1.6E-1	-	-	1.4E-1	2.8E-3
0.25	2.5E-2	-	-	2.0E-2	1.1E-3
0.375	3.8E-3	-	-	3.1E-3	2.3E-4
0.5	5.9E-4	-	-	4.6E-4	4.1E-5
0.625	9.0E-5	-	-	7.0E-5	7.0E-6
0.75	1.4E-5	-	-	1.1E-5	1.1E-6
0.875	2.0E-6	-	-	1.6E-6	1.9E-7
1	3.0E-7	1.8E-8	6.9E-8	2.3E-7	3.0E-8
1.125	4.5E-8	-	-	3.3E-8	4.8E-9
1.25	6.5E-9	-	-	4.8E-9	6.8E-10
1.375	9.5E-10	-	-	6.8E-10	-
1.5	1.4E-10	-	-	-	-
