Radionuclide	U-235
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	1.6E-6	Male	1.9E-6	1.0E-6	8.0E-7	1.0E-6	1.3E-6	0.0E+0	1.3E-6	1.3E-6	1.0E-6	3.8E-6	1.1E-6	7.7E-6	1.3E-6	1.3E-6	1.3E-6	1.1E-6	1.2E-6	1.3E-6	1.1E-6	9.8E-6	1.3E-6	1.3E-6	1.3E-6	1.1E-6	1.3E-6	1.0E-6	8.9E-7	1.3E-6	0.0E+0
		Female	2.2E-6	1.3E-6	9.4E-7	1.3E-6	1.5E-6	1.2E-6	0.0E+0	1.5E-6	1.3E-6	5.0E-6	1.4E-6	8.6E-6	1.5E-6	1.5E-6	1.8E-6	1.3E-6	1.4E-6	1.5E-6	1.3E-6	1.2E-5	1.5E-6	1.5E-6	1.6E-6	1.3E-6	0.0E+0	1.2E-6	1.1E-6	1.5E-6	1.5E-6
Ingestion, Soluble forms, fA=2E-2	3.2E-8	Male	3.8E-8	2.0E-8	1.6E-8	2.1E-8	2.5E-8	0.0E+0	2.5E-8	2.6E-8	2.1E-8	7.6E-8	2.3E-8	1.5E-7	2.6E-8	2.5E-8	2.5E-8	2.2E-8	2.4E-8	2.6E-8	2.3E-8	2.0E-7	2.5E-8	2.6E-8	2.7E-8	2.2E-8	2.6E-8	2.0E-8	1.8E-8	2.6E-8	0.0E+0
		Female	4.5E-8	2.6E-8	1.9E-8	2.5E-8	3.0E-8	2.5E-8	0.0E+0	3.1E-8	2.5E-8	9.9E-8	2.7E-8	1.7E-7	3.0E-8	3.0E-8	3.6E-8	2.6E-8	2.8E-8	3.0E-8	2.7E-8	2.3E-7	3.0E-8	3.0E-8	3.1E-8	2.6E-8	0.0E+0	2.5E-8	2.2E-8	3.0E-8	3.0E-8
Ingestion, Relatively insoluble forms, fA=2E-3	3.3E-9	Male	3.8E-9	2.4E-9	1.6E-9	2.2E-9	2.6E-9	0.0E+0	2.5E-9	2.7E-9	2.1E-9	7.7E-9	2.3E-9	1.5E-8	2.6E-9	2.5E-9	2.5E-9	2.2E-9	2.4E-9	2.7E-9	2.3E-9	2.0E-8	2.6E-9	2.6E-9	2.7E-9	2.3E-9	2.6E-9	2.2E-9	1.8E-9	2.6E-9	0.0E+0
		Female	4.5E-9	2.9E-9	1.9E-9	2.6E-9	3.0E-9	2.7E-9	0.0E+0	3.2E-9	2.5E-9	9.9E-9	2.7E-9	1.7E-8	3.0E-9	3.0E-9	3.6E-9	2.7E-9	2.8E-9	3.1E-9	2.7E-9	2.3E-8	3.0E-9	3.1E-9	3.1E-9	2.7E-9	0.0E+0	2.7E-9	2.2E-9	3.0E-9	3.2E-9
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.001 µm	4.1E-7	Male	4.1E-7	2.2E-7	7.5E-7	2.2E-7	2.8E-7	0.0E+0	2.7E-7	2.8E-7	2.2E-7	8.2E-7	2.5E-7	1.7E-6	2.8E-7	2.8E-7	2.7E-7	2.3E-7	2.8E-7	2.8E-7	2.5E-7	2.1E-6	2.7E-7	2.8E-7	2.9E-7	2.3E-7	2.8E-7	2.2E-7	1.9E-7	2.8E-7	0.0E+0
		Female	4.8E-7	2.7E-7	8.1E-7	2.7E-7	3.3E-7	2.7E-7	0.0E+0	3.3E-7	2.8E-7	1.1E-6	3.0E-7	1.9E-6	3.3E-7	3.3E-7	3.9E-7	2.9E-7	3.3E-7	3.3E-7	2.9E-7	2.5E-6	3.2E-7	3.3E-7	3.4E-7	2.8E-7	0.0E+0	2.7E-7	2.3E-7	3.3E-7	3.3E-7
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.003 µm	9.2E-7	Male	8.8E-7	4.7E-7	1.8E-6	4.8E-7	6.0E-7	0.0E+0	5.9E-7	6.1E-7	4.9E-7	1.8E-6	5.4E-7	3.6E-6	6.0E-7	6.0E-7	5.9E-7	5.1E-7	5.8E-7	6.0E-7	5.3E-7	4.6E-6	5.9E-7	6.1E-7	6.2E-7	5.1E-7	6.0E-7	4.7E-7	4.1E-7	6.0E-7	0.0E+0
		Female	1.0E-6	5.9E-7	1.9E-6	5.9E-7	7.1E-7	5.8E-7	0.0E+0	7.2E-7	6.0E-7	2.3E-6	6.4E-7	4.0E-6	7.0E-7	7.1E-7	8.5E-7	6.2E-7	6.8E-7	7.1E-7	6.3E-7	5.4E-6	6.9E-7	7.1E-7	7.3E-7	6.1E-7	0.0E+0	5.8E-7	5.0E-7	7.1E-7	7.1E-7
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.01 µm	1.2E-6	Male	1.3E-6	7.0E-7	1.5E-6	7.2E-7	8.8E-7	0.0E+0	8.7E-7	9.0E-7	7.2E-7	2.6E-6	7.9E-7	5.3E-6	8.8E-7	8.8E-7	8.8E-7	7.5E-7	8.4E-7	8.8E-7	7.9E-7	6.8E-6	8.7E-7	9.0E-7	9.2E-7	7.5E-7	8.8E-7	7.0E-7	6.1E-7	8.8E-7	0.0E+0
		Female	1.5E-6	8.7E-7	1.7E-6	8.8E-7	1.0E-6	8.6E-7	0.0E+0	1.1E-6	8.8E-7	3.4E-6	9.5E-7	5.9E-6	1.0E-6	1.0E-6	1.3E-6	9.1E-7	9.9E-7	1.0E-6	9.3E-7	8.0E-6	1.0E-6	1.1E-6	1.1E-6	9.0E-7	0.0E+0	8.6E-7	7.5E-7	1.0E-6	1.0E-6
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.03 µm	9.0E-7	Male	9.9E-7	5.3E-7	9.5E-7	5.5E-7	6.7E-7	0.0E+0	6.6E-7	6.9E-7	5.5E-7	2.0E-6	6.0E-7	4.0E-6	6.7E-7	6.7E-7	6.7E-7	5.7E-7	6.4E-7	6.7E-7	6.0E-7	5.1E-6	6.6E-7	6.8E-7	7.0E-7	5.7E-7	6.7E-7	5.3E-7	4.7E-7	6.7E-7	0.0E+0
		Female	1.2E-6	6.6E-7	1.0E-6	6.7E-7	8.0E-7	6.6E-7	0.0E+0	8.1E-7	6.7E-7	2.6E-6	7.2E-7	4.5E-6	7.9E-7	8.0E-7	9.6E-7	7.0E-7	7.5E-7	8.0E-7	7.1E-7	6.1E-6	7.8E-7	8.0E-7	8.3E-7	6.9E-7	0.0E+0	6.6E-7	5.7E-7	8.0E-7	8.0E-7
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.1 µm	4.5E-7	Male	4.9E-7	2.7E-7	4.6E-7	2.7E-7	3.4E-7	0.0E+0	3.3E-7	3.4E-7	2.7E-7	1.0E-6	3.0E-7	2.0E-6	3.4E-7	3.4E-7	3.3E-7	2.9E-7	3.2E-7	3.4E-7	3.0E-7	2.6E-6	3.3E-7	3.4E-7	3.5E-7	2.9E-7	3.4E-7	2.7E-7	2.3E-7	3.4E-7	0.0E+0
		Female	5.9E-7	3.3E-7	5.1E-7	3.3E-7	4.0E-7	3.3E-7	0.0E+0	4.0E-7	3.4E-7	1.3E-6	3.6E-7	2.3E-6	4.0E-7	4.0E-7	4.8E-7	3.5E-7	3.8E-7	4.0E-7	3.5E-7	3.0E-6	3.9E-7	4.0E-7	4.1E-7	3.4E-7	0.0E+0	3.3E-7	2.8E-7	4.0E-7	4.0E-7
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 0.3 µm	3.3E-7	Male	3.6E-7	1.9E-7	3.2E-7	2.0E-7	2.5E-7	0.0E+0	2.4E-7	2.5E-7	2.0E-7	7.3E-7	2.2E-7	1.5E-6	2.5E-7	2.5E-7	2.4E-7	2.1E-7	2.4E-7	2.5E-7	2.2E-7	1.9E-6	2.4E-7	2.5E-7	2.6E-7	2.1E-7	2.5E-7	1.9E-7	1.7E-7	2.5E-7	0.0E+0
		Female	4.3E-7	2.4E-7	3.6E-7	2.4E-7	2.9E-7	2.4E-7	0.0E+0	2.9E-7	2.5E-7	9.6E-7	2.6E-7	1.7E-6	2.9E-7	2.9E-7	3.5E-7	2.5E-7	2.8E-7	2.9E-7	2.6E-7	2.2E-6	2.8E-7	2.9E-7	3.0E-7	2.5E-7	0.0E+0	2.4E-7	2.1E-7	2.9E-7	2.9E-7
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 1 µm	2.7E-7	Male	3.1E-7	1.6E-7	2.3E-7	1.7E-7	2.1E-7	0.0E+0	2.1E-7	2.1E-7	1.7E-7	6.2E-7	1.9E-7	1.3E-6	2.1E-7	2.1E-7	2.1E-7	1.8E-7	2.1E-7	2.1E-7	1.9E-7	1.6E-6	2.1E-7	2.1E-7	2.2E-7	1.8E-7	2.1E-7	1.7E-7	1.4E-7	2.1E-7	0.0E+0
		Female	3.7E-7	2.1E-7	2.6E-7	2.1E-7	2.5E-7	2.0E-7	0.0E+0	2.5E-7	2.1E-7	8.1E-7	2.2E-7	1.4E-6	2.5E-7	2.5E-7	3.0E-7	2.2E-7	2.4E-7	2.5E-7	2.2E-7	1.9E-6	2.4E-7	2.5E-7	2.6E-7	2.1E-7	0.0E+0	2.0E-7	1.8E-7	2.5E-7	2.5E-7
Inhalation, Aerosols Type F, Uranium hexafluoride, uranyl tributyl-phosphate, fA=2E-2, 3 µm	2.7E-7	Male	3.0E-7	1.6E-7	2.2E-7	1.7E-7	2.0E-7	0.0E+0	2.0E-7	2.1E-7	1.7E-7	6.1E-7	1.8E-7	1.2E-6	2.1E-7	2.1E-7	2.0E-7	1.7E-7	2.1E-7	2.1E-7	1.8E-7	1.6E-6	2.0E-7	2.1E-7	2.2E-7	1.7E-7	2.1E-7	1.6E-7	1.4E-7	2.1E-7	0.0E+0
		Female	3.6E-7	2.0E-7	2.5E-7	2.0E-7	2.4E-7	2.0E-7	0.0E+0	2.5E-7	2.0E-7	8.0E-7	2.2E-7	1.4E-6	2.4E-7	2.4E-7	2.9E-7	2.1E-7	2.5E-7	2.4E-7	2.2E-7	1.9E-6	2.4E-7	2.5E-7	2.5E-7	2.1E-7	0.0E+0	2.0E-7	1.7E-7	2.4E-7	2.4E-7
