Radionuclide	Ba-133
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	4.2E-9	Male	8.6E-9	3.0E-9	3.8E-9	2.2E-9	1.3E-9	0.0E+0	1.5E-9	4.2E-9	4.8E-9	2.6E-9	3.9E-9	1.4E-8	5.2E-9	4.2E-9	1.9E-9	3.6E-9	5.4E-9	2.4E-9	2.8E-9	2.9E-9	3.6E-9	3.2E-9	5.4E-9	2.7E-9	4.1E-9	2.9E-9	3.2E-9	4.1E-9	0.0E+0
		Female	1.0E-8	4.0E-9	4.3E-9	2.4E-9	1.7E-9	4.8E-9	0.0E+0	4.3E-9	5.8E-9	2.9E-9	4.8E-9	1.8E-8	7.4E-9	6.6E-9	2.3E-9	5.7E-9	8.2E-9	4.2E-9	3.1E-9	3.7E-9	4.4E-9	4.1E-9	7.8E-9	3.5E-9	0.0E+0	3.8E-9	2.9E-9	4.9E-9	4.5E-9
Ingestion, Insoluble forms: sulphate, titanate, fA=1E-4	2.0E-10	Male	6.4E-11	8.2E-10	2.5E-11	3.1E-10	2.6E-11	0.0E+0	8.6E-12	1.5E-10	3.0E-11	1.2E-10	4.9E-12	3.2E-11	8.8E-13	1.8E-12	1.9E-11	1.0E-10	1.9E-12	2.9E-10	4.5E-11	1.7E-10	1.5E-10	3.6E-11	2.9E-12	3.2E-10	6.6E-11	3.2E-10	1.3E-10	8.5E-12	0.0E+0
		Female	9.8E-11	1.0E-9	9.9E-12	1.5E-10	6.8E-12	4.3E-10	0.0E+0	2.9E-10	1.4E-11	5.1E-11	2.3E-12	5.4E-11	9.5E-13	1.4E-12	2.1E-11	6.6E-11	1.7E-12	8.4E-11	1.8E-11	1.4E-10	1.8E-10	5.8E-11	2.6E-12	1.9E-10	0.0E+0	4.7E-10	5.9E-11	3.9E-12	5.0E-10
Ingestion, Soluble forms, fA=0.2	1.0E-9	Male	1.8E-9	1.3E-9	7.8E-10	7.1E-10	2.8E-10	0.0E+0	3.0E-10	9.7E-10	9.8E-10	6.2E-10	7.9E-10	2.7E-9	1.0E-9	8.5E-10	4.0E-10	8.0E-10	1.1E-9	7.2E-10	6.1E-10	7.1E-10	8.4E-10	6.8E-10	1.1E-9	8.0E-10	8.8E-10	8.3E-10	7.4E-10	8.4E-10	0.0E+0
		Female	2.1E-9	1.6E-9	8.7E-10	6.2E-10	3.4E-10	1.3E-9	0.0E+0	1.1E-9	1.2E-9	6.2E-10	9.6E-10	3.5E-9	1.5E-9	1.3E-9	4.7E-10	1.2E-9	1.6E-9	9.0E-10	6.5E-10	8.6E-10	1.0E-9	8.6E-10	1.6E-9	8.6E-10	0.0E+0	1.1E-9	6.4E-10	9.8E-10	1.3E-9
Inhalation, Aerosols Type F, Barium chloride, carbonate, fA=0.2, 0.001 µm	1.7E-9	Male	3.3E-9	1.5E-9	1.6E-9	1.0E-9	5.1E-10	0.0E+0	5.6E-10	1.7E-9	1.8E-9	1.0E-9	1.5E-9	5.2E-9	2.0E-9	1.6E-9	7.6E-10	1.4E-9	2.4E-9	1.1E-9	1.1E-9	1.2E-9	1.5E-9	1.3E-9	2.2E-9	1.2E-9	1.6E-9	1.2E-9	1.3E-9	1.6E-9	0.0E+0
		Female	4.0E-9	2.0E-9	1.8E-9	1.0E-9	6.5E-10	2.0E-9	0.0E+0	1.8E-9	2.2E-9	1.1E-9	1.8E-9	6.7E-9	2.9E-9	2.6E-9	8.8E-10	2.2E-9	3.5E-9	1.6E-9	1.2E-9	1.5E-9	1.8E-9	1.6E-9	3.2E-9	1.4E-9	0.0E+0	1.7E-9	1.1E-9	1.9E-9	1.9E-9
Inhalation, Aerosols Type F, Barium chloride, carbonate, fA=0.2, 0.003 µm	2.5E-9	Male	4.9E-9	2.0E-9	2.5E-9	1.4E-9	7.5E-10	0.0E+0	8.4E-10	2.5E-9	2.8E-9	1.5E-9	2.3E-9	7.8E-9	3.0E-9	2.4E-9	1.1E-9	2.1E-9	3.3E-9	1.5E-9	1.7E-9	1.7E-9	2.1E-9	1.9E-9	3.2E-9	1.7E-9	2.4E-9	1.7E-9	1.9E-9	2.4E-9	0.0E+0
		Female	5.9E-9	2.6E-9	2.8E-9	1.4E-9	9.7E-10	2.9E-9	0.0E+0	2.5E-9	3.4E-9	1.7E-9	2.8E-9	1.0E-8	4.3E-9	3.8E-9	1.3E-9	3.3E-9	4.9E-9	2.4E-9	1.8E-9	2.2E-9	2.6E-9	2.4E-9	4.6E-9	2.1E-9	0.0E+0	2.3E-9	1.7E-9	2.8E-9	2.7E-9
Inhalation, Aerosols Type F, Barium chloride, carbonate, fA=0.2, 0.01 µm	3.1E-9	Male	6.3E-9	2.3E-9	3.0E-9	1.7E-9	9.5E-10	0.0E+0	1.1E-9	3.1E-9	3.5E-9	1.9E-9	2.9E-9	9.9E-9	3.8E-9	3.1E-9	1.4E-9	2.7E-9	4.0E-9	1.8E-9	2.1E-9	2.2E-9	2.7E-9	2.4E-9	4.0E-9	2.0E-9	3.0E-9	2.1E-9	2.4E-9	3.0E-9	0.0E+0
		Female	7.5E-9	3.1E-9	3.4E-9	1.8E-9	1.2E-9	3.6E-9	0.0E+0	3.2E-9	4.3E-9	2.1E-9	3.5E-9	1.3E-8	5.5E-9	4.9E-9	1.7E-9	4.2E-9	6.1E-9	3.1E-9	2.3E-9	2.8E-9	3.3E-9	3.0E-9	5.8E-9	2.6E-9	0.0E+0	2.8E-9	2.2E-9	3.6E-9	3.3E-9
Inhalation, Aerosols Type F, Barium chloride, carbonate, fA=0.2, 0.03 µm	2.3E-9	Male	4.7E-9	1.7E-9	2.2E-9	1.2E-9	7.1E-10	0.0E+0	8.0E-10	2.3E-9	2.6E-9	1.4E-9	2.2E-9	7.4E-9	2.8E-9	2.3E-9	1.1E-9	2.0E-9	3.0E-9	1.3E-9	1.6E-9	1.6E-9	2.0E-9	1.8E-9	3.0E-9	1.5E-9	2.3E-9	1.6E-9	1.8E-9	2.3E-9	0.0E+0
		Female	5.6E-9	2.3E-9	2.5E-9	1.3E-9	9.2E-10	2.7E-9	0.0E+0	2.4E-9	3.2E-9	1.6E-9	2.6E-9	9.6E-9	4.1E-9	3.6E-9	1.2E-9	3.1E-9	4.5E-9	2.3E-9	1.7E-9	2.1E-9	2.4E-9	2.2E-9	4.3E-9	1.9E-9	0.0E+0	2.1E-9	1.6E-9	2.7E-9	2.5E-9
Inhalation, Aerosols Type F, Barium chloride, carbonate, fA=0.2, 0.1 µm	1.2E-9	Male	2.4E-9	8.7E-10	1.1E-9	6.3E-10	3.6E-10	0.0E+0	4.1E-10	1.2E-9	1.3E-9	7.3E-10	1.1E-9	3.8E-9	1.4E-9	1.2E-9	5.4E-10	1.0E-9	1.5E-9	6.8E-10	7.9E-10	8.1E-10	1.0E-9	9.0E-10	1.5E-9	7.7E-10	1.2E-9	8.1E-10	9.0E-10	1.2E-9	0.0E+0
		Female	2.8E-9	1.2E-9	1.2E-9	6.8E-10	4.7E-10	1.3E-9	0.0E+0	1.2E-9	1.6E-9	8.1E-10	1.3E-9	4.9E-9	2.1E-9	1.8E-9	6.3E-10	1.6E-9	2.3E-9	1.2E-9	8.8E-10	1.0E-9	1.2E-9	1.1E-9	2.2E-9	9.9E-10	0.0E+0	1.1E-9	8.1E-10	1.4E-9	1.3E-9
Inhalation, Aerosols Type F, Barium chloride, carbonate, fA=0.2, 0.3 µm	9.2E-10	Male	1.8E-9	7.0E-10	8.5E-10	5.0E-10	2.8E-10	0.0E+0	3.1E-10	9.2E-10	1.0E-9	5.7E-10	8.5E-10	2.9E-9	1.1E-9	9.1E-10	4.2E-10	7.8E-10	1.2E-9	5.4E-10	6.2E-10	6.3E-10	7.9E-10	7.0E-10	1.2E-9	6.1E-10	8.9E-10	6.3E-10	7.0E-10	8.9E-10	0.0E+0
		Female	2.2E-9	9.3E-10	9.6E-10	5.3E-10	3.6E-10	1.1E-9	0.0E+0	9.4E-10	1.3E-9	6.2E-10	1.0E-9	3.8E-9	1.6E-9	1.4E-9	4.9E-10	1.2E-9	1.8E-9	9.0E-10	6.8E-10	8.1E-10	9.6E-10	8.8E-10	1.7E-9	7.7E-10	0.0E+0	8.4E-10	6.3E-10	1.0E-9	9.9E-10
Inhalation, Aerosols Type F, Barium chloride, carbonate, fA=0.2, 1 µm	1.0E-9	Male	2.0E-9	8.8E-10	9.2E-10	6.0E-10	3.1E-10	0.0E+0	3.5E-10	1.0E-9	1.1E-9	6.4E-10	9.3E-10	3.2E-9	1.2E-9	1.0E-9	4.6E-10	8.7E-10	1.4E-9	6.3E-10	6.8E-10	7.2E-10	8.9E-10	7.7E-10	1.3E-9	7.1E-10	9.9E-10	7.4E-10	7.8E-10	9.8E-10	0.0E+0
