Radionuclide	Cf-252
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	4.2E-5	Male	1.1E-4	3.0E-6	2.8E-6	3.3E-6	3.5E-6	0.0E+0	4.2E-5	3.9E-6	3.6E-6	1.7E-4	3.5E-6	9.4E-4	4.0E-6	3.9E-6	3.5E-6	4.0E-6	2.4E-6	5.0E-6	3.5E-6	1.1E-4	3.7E-6	3.8E-6	4.2E-6	3.7E-6	3.8E-6	3.0E-6	2.8E-6	3.9E-6	0.0E+0
		Female	1.5E-4	3.7E-6	3.4E-6	4.1E-6	4.2E-6	4.2E-5	0.0E+0	4.5E-6	4.4E-6	2.2E-4	4.2E-6	1.2E-3	5.0E-6	4.9E-6	4.1E-6	5.5E-6	3.5E-6	6.2E-6	4.2E-6	1.3E-4	4.4E-6	4.6E-6	6.3E-6	4.5E-6	0.0E+0	3.9E-6	3.4E-6	4.7E-6	4.5E-6
Ingestion, All compounds, fA=5E-4	2.5E-8	Male	5.8E-8	2.0E-8	1.9E-9	8.4E-9	2.3E-9	0.0E+0	2.1E-8	5.0E-9	2.4E-9	8.7E-8	1.8E-9	4.7E-7	2.0E-9	2.0E-9	2.1E-9	4.1E-9	1.2E-9	8.8E-9	2.7E-9	5.8E-8	1.7E-8	2.6E-9	2.2E-9	8.6E-9	3.3E-9	8.4E-9	3.9E-9	2.1E-9	0.0E+0
		Female	7.6E-8	2.5E-8	1.9E-9	5.5E-9	2.2E-9	3.0E-8	0.0E+0	8.5E-9	2.5E-9	1.1E-7	2.1E-9	6.2E-7	2.5E-9	2.5E-9	2.5E-9	4.1E-9	1.8E-9	4.9E-9	2.4E-9	6.7E-8	2.1E-8	3.5E-9	3.2E-9	6.3E-9	0.0E+0	1.2E-8	2.9E-9	2.4E-9	1.4E-8
Inhalation, Aerosols Type F, Chloride, fA=5E-4, 0.001 µm	9.5E-6	Male	8.7E-6	2.5E-7	5.1E-5	2.6E-7	2.7E-7	0.0E+0	3.2E-6	3.0E-7	2.8E-7	1.3E-5	2.7E-7	7.1E-5	3.1E-7	3.0E-7	2.7E-7	3.1E-7	1.3E-5	3.9E-7	2.7E-7	8.3E-6	3.0E-7	2.9E-7	3.3E-7	2.9E-7	2.9E-7	2.4E-7	2.2E-7	3.0E-7	0.0E+0
		Female	1.1E-5	3.0E-7	5.3E-5	3.2E-7	3.2E-7	3.2E-6	0.0E+0	3.5E-7	3.4E-7	1.7E-5	3.2E-7	9.5E-5	3.8E-7	3.8E-7	3.2E-7	4.2E-7	1.5E-5	4.7E-7	3.2E-7	9.8E-6	3.5E-7	3.5E-7	4.9E-7	3.5E-7	0.0E+0	3.0E-7	2.6E-7	3.6E-7	3.5E-7
Inhalation, Aerosols Type F, Chloride, fA=5E-4, 0.003 µm	2.9E-5	Male	3.5E-5	9.3E-7	1.3E-4	1.0E-6	1.1E-6	0.0E+0	1.3E-5	1.2E-6	1.1E-6	5.1E-5	1.1E-6	2.8E-4	1.2E-6	1.2E-6	1.1E-6	1.2E-6	9.4E-6	1.5E-6	1.1E-6	3.3E-5	1.1E-6	1.2E-6	1.3E-6	1.1E-6	1.2E-6	9.3E-7	8.6E-7	1.2E-6	0.0E+0
		Female	4.5E-5	1.1E-6	1.4E-4	1.2E-6	1.3E-6	1.3E-5	0.0E+0	1.4E-6	1.4E-6	6.7E-5	1.3E-6	3.8E-4	1.5E-6	1.5E-6	1.3E-6	1.7E-6	1.1E-5	1.9E-6	1.3E-6	3.9E-5	1.3E-6	1.4E-6	1.9E-6	1.4E-6	0.0E+0	1.2E-6	1.0E-6	1.4E-6	1.4E-6
Inhalation, Aerosols Type F, Chloride, fA=5E-4, 0.01 µm	3.6E-5	Male	6.8E-5	1.8E-6	9.4E-5	2.0E-6	2.1E-6	0.0E+0	2.5E-5	2.3E-6	2.2E-6	1.0E-4	2.1E-6	5.6E-4	2.4E-6	2.3E-6	2.1E-6	2.4E-6	5.1E-6	3.0E-6	2.1E-6	6.5E-5	2.2E-6	2.3E-6	2.5E-6	2.2E-6	2.3E-6	1.8E-6	1.7E-6	2.4E-6	0.0E+0
		Female	8.9E-5	2.3E-6	9.9E-5	2.5E-6	2.5E-6	2.5E-5	0.0E+0	2.7E-6	2.7E-6	1.3E-4	2.5E-6	7.5E-4	3.0E-6	3.0E-6	2.5E-6	3.3E-6	6.4E-6	3.7E-6	2.5E-6	7.7E-5	2.6E-6	2.7E-6	3.8E-6	2.7E-6	0.0E+0	2.3E-6	2.1E-6	2.8E-6	2.7E-6
