Radionuclide	Au-200
Route of Intake	Inhalation
Material	Aerosols Type S, Elemental gold, gold-labelled Teflon, fA=1E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	3.4E-1	1.2E-1	3.2E-2	5.5E-6	8.0E-6
0.083333	1.4E-1	5.7E-2	1.3E-2	3.8E-6	5.7E-6
0.125	6.0E-2	2.6E-2	5.2E-3	2.2E-6	3.3E-6
0.25	4.4E-3	2.4E-3	3.8E-4	2.7E-7	4.3E-7
0.375	3.2E-4	2.0E-4	2.8E-5	2.5E-8	4.2E-8
0.5	2.4E-5	1.6E-5	2.1E-6	2.1E-9	3.7E-9
0.625	1.8E-6	1.3E-6	1.6E-7	1.7E-10	3.1E-10
0.75	1.3E-7	9.8E-8	1.2E-8	-	-
0.875	9.4E-9	7.4E-9	9.0E-10	-	-
1	6.8E-10	5.4E-10	-	-	-
