Radionuclide	Pb-196
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	1.2E-11	Male	1.6E-11	1.1E-11	1.2E-11	1.2E-11	5.2E-12	0.0E+0	8.3E-12	9.2E-12	1.2E-11	1.8E-11	7.4E-12	2.2E-11	5.0E-12	4.2E-12	3.9E-12	1.8E-11	4.1E-12	1.3E-11	1.8E-11	3.0E-11	9.1E-12	5.4E-12	5.8E-12	1.4E-11	6.8E-12	1.0E-11	1.2E-11	5.5E-12	0.0E+0
		Female	2.3E-11	1.2E-11	1.5E-11	1.4E-11	5.7E-12	1.4E-11	0.0E+0	9.5E-12	1.4E-11	2.2E-11	8.9E-12	2.9E-11	6.2E-12	5.4E-12	4.9E-12	2.1E-11	5.4E-12	1.4E-11	2.2E-11	3.5E-11	1.1E-11	6.6E-12	6.8E-12	1.7E-11	0.0E+0	1.3E-11	1.5E-11	6.3E-12	7.8E-12
Ingestion, All forms, fA=0.2	2.6E-11	Male	9.4E-12	2.2E-11	8.6E-12	1.3E-10	7.0E-12	0.0E+0	8.6E-12	6.1E-12	1.6E-11	1.6E-11	4.5E-12	1.3E-11	3.3E-12	3.3E-12	3.2E-12	2.0E-11	3.3E-12	1.9E-11	1.8E-11	2.6E-11	1.3E-11	4.9E-12	4.9E-12	2.9E-11	5.1E-12	2.1E-11	2.0E-11	4.9E-12	0.0E+0
		Female	1.2E-11	2.1E-11	8.8E-12	1.3E-10	6.0E-12	1.4E-11	0.0E+0	9.1E-12	1.6E-11	1.8E-11	5.1E-12	1.6E-11	4.1E-12	4.2E-12	3.8E-12	2.5E-11	4.3E-12	2.0E-11	1.6E-11	3.3E-11	1.3E-11	6.2E-12	5.8E-12	3.4E-11	0.0E+0	2.6E-11	3.3E-11	5.4E-12	9.9E-12
Inhalation, Aerosols Type F, Lead dichloride, dibromide, difluoride, hydroxide, nitrate, oxide, all unspecified forms, fA=0.2, 0.001 µm	5.5E-11	Male	7.3E-12	6.1E-12	2.7E-10	2.6E-11	4.4E-12	0.0E+0	3.6E-12	2.9E-12	1.9E-11	7.6E-12	1.0E-11	9.5E-12	1.2E-11	1.2E-11	3.5E-12	7.9E-12	1.1E-9	6.5E-12	1.1E-11	1.1E-11	1.3E-11	3.1E-12	4.9E-11	8.3E-12	2.4E-12	5.6E-12	7.4E-12	8.1E-12	0.0E+0
		Female	1.0E-11	5.8E-12	3.0E-10	2.7E-11	5.7E-12	5.5E-12	0.0E+0	3.5E-12	2.8E-11	8.8E-12	2.0E-11	1.3E-11	1.4E-11	2.3E-11	3.7E-12	9.3E-12	1.2E-9	7.4E-12	1.3E-11	1.3E-11	1.7E-11	4.0E-12	7.5E-11	9.7E-12	0.0E+0	6.8E-12	1.0E-11	1.2E-11	3.3E-12
Inhalation, Aerosols Type F, Lead dichloride, dibromide, difluoride, hydroxide, nitrate, oxide, all unspecified forms, fA=0.2, 0.003 µm	6.3E-11	Male	8.9E-12	6.2E-12	3.7E-10	2.0E-11	5.9E-12	0.0E+0	4.1E-12	3.5E-12	1.9E-11	1.0E-11	1.1E-11	1.1E-11	8.1E-12	8.5E-12	3.2E-12	9.7E-12	6.5E-10	7.6E-12	1.6E-11	1.3E-11	1.2E-11	3.6E-12	3.1E-11	8.7E-12	2.8E-12	5.7E-12	9.8E-12	1.2E-11	0.0E+0
		Female	1.3E-11	6.0E-12	4.1E-10	2.1E-11	7.7E-12	6.3E-12	0.0E+0	4.0E-12	2.8E-11	1.2E-11	2.0E-11	1.4E-11	9.8E-12	1.6E-11	3.7E-12	1.1E-11	7.5E-10	8.6E-12	2.0E-11	1.6E-11	1.6E-11	4.6E-12	4.8E-11	9.8E-12	0.0E+0	6.8E-12	1.2E-11	1.6E-11	3.6E-12
Inhalation, Aerosols Type F, Lead dichloride, dibromide, difluoride, hydroxide, nitrate, oxide, all unspecified forms, fA=0.2, 0.01 µm	4.0E-11	Male	1.0E-11	6.1E-12	2.3E-10	1.4E-11	7.0E-12	0.0E+0	4.4E-12	4.0E-12	1.7E-11	1.2E-11	1.0E-11	1.1E-11	4.8E-12	5.2E-12	2.9E-12	1.1E-11	2.5E-10	8.3E-12	2.0E-11	1.5E-11	1.0E-11	3.9E-12	1.4E-11	8.8E-12	3.1E-12	5.5E-12	1.2E-11	1.4E-11	0.0E+0
		Female	1.4E-11	6.0E-12	2.5E-10	1.4E-11	9.4E-12	6.8E-12	0.0E+0	4.3E-12	2.4E-11	1.4E-11	1.4E-11	1.5E-11	5.9E-12	8.7E-12	3.5E-12	1.2E-11	2.9E-10	9.4E-12	2.5E-11	1.7E-11	1.3E-11	4.9E-12	2.1E-11	9.5E-12	0.0E+0	6.6E-12	1.3E-11	1.8E-11	3.8E-12
