Radionuclide	Th-230
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Injection	1.2E-4	Male	3.0E-4	2.2E-5	1.8E-5	2.3E-5	2.8E-5	0.0E+0	1.0E-4	2.9E-5	2.3E-5	2.4E-4	2.5E-5	3.2E-3	2.8E-5	2.8E-5	2.8E-5	2.4E-5	2.7E-5	2.8E-5	2.5E-5	2.7E-4	2.8E-5	2.9E-5	2.9E-5	2.4E-5	2.8E-5	2.2E-5	1.9E-5	2.8E-5	0.0E+0
		Female	3.9E-4	2.8E-5	2.1E-5	2.8E-5	3.3E-5	1.0E-4	0.0E+0	3.4E-5	2.8E-5	3.2E-4	3.0E-5	4.2E-3	3.3E-5	3.3E-5	4.0E-5	2.9E-5	3.1E-5	3.3E-5	3.0E-5	3.2E-4	3.3E-5	3.4E-5	3.4E-5	2.9E-5	0.0E+0	2.7E-5	2.4E-5	3.3E-5	3.3E-5
Ingestion, All forms, fA=5E-4	6.0E-8	Male	1.5E-7	1.1E-8	8.8E-9	1.1E-8	1.4E-8	0.0E+0	5.2E-8	1.4E-8	1.1E-8	1.2E-7	1.3E-8	1.6E-6	1.4E-8	1.4E-8	1.4E-8	1.2E-8	1.3E-8	1.4E-8	1.3E-8	1.4E-7	1.4E-8	1.4E-8	1.5E-8	1.2E-8	1.4E-8	1.1E-8	9.7E-9	1.4E-8	0.0E+0
		Female	1.9E-7	1.4E-8	1.0E-8	1.4E-8	1.7E-8	5.1E-8	0.0E+0	1.7E-8	1.4E-8	1.6E-7	1.5E-8	2.1E-6	1.7E-8	1.7E-8	2.0E-8	1.5E-8	1.6E-8	1.7E-8	1.5E-8	1.6E-7	1.6E-8	1.7E-8	1.7E-8	1.4E-8	0.0E+0	1.4E-8	1.2E-8	1.7E-8	1.7E-8
Inhalation, Aerosols Type F, fA=5E-4, 0.001 µm	4.7E-5	Male	1.2E-4	8.7E-6	7.0E-6	8.9E-6	1.1E-5	0.0E+0	4.1E-5	1.1E-5	8.9E-6	9.5E-5	9.9E-6	1.2E-3	1.1E-5	1.1E-5	1.1E-5	9.3E-6	1.0E-5	1.1E-5	9.9E-6	1.1E-4	1.1E-5	1.1E-5	1.2E-5	9.3E-6	1.1E-5	8.7E-6	7.6E-6	1.1E-5	0.0E+0
		Female	1.5E-4	1.1E-5	8.2E-6	1.1E-5	1.3E-5	4.0E-5	0.0E+0	1.3E-5	1.1E-5	1.2E-4	1.2E-5	1.6E-3	1.3E-5	1.3E-5	1.6E-5	1.1E-5	1.2E-5	1.3E-5	1.2E-5	1.3E-4	1.3E-5	1.3E-5	1.3E-5	1.1E-5	0.0E+0	1.1E-5	9.3E-6	1.3E-5	1.3E-5
Inhalation, Aerosols Type F, fA=5E-4, 0.003 µm	7.0E-5	Male	1.7E-4	1.3E-5	1.1E-5	1.3E-5	1.6E-5	0.0E+0	6.1E-5	1.7E-5	1.3E-5	1.4E-4	1.5E-5	1.8E-3	1.6E-5	1.6E-5	1.6E-5	1.4E-5	1.6E-5	1.6E-5	1.5E-5	1.6E-4	1.6E-5	1.7E-5	1.7E-5	1.4E-5	1.6E-5	1.3E-5	1.1E-5	1.6E-5	0.0E+0
		Female	2.3E-4	1.6E-5	1.2E-5	1.6E-5	2.0E-5	6.0E-5	0.0E+0	2.0E-5	1.6E-5	1.9E-4	1.8E-5	2.5E-3	1.9E-5	2.0E-5	2.3E-5	1.7E-5	1.8E-5	2.0E-5	1.7E-5	1.9E-4	1.9E-5	2.0E-5	2.0E-5	1.7E-5	0.0E+0	1.6E-5	1.4E-5	2.0E-5	2.0E-5
Inhalation, Aerosols Type F, fA=5E-4, 0.01 µm	8.8E-5	Male	2.2E-4	1.6E-5	1.3E-5	1.7E-5	2.1E-5	0.0E+0	7.7E-5	2.1E-5	1.7E-5	1.8E-4	1.9E-5	2.3E-3	2.1E-5	2.1E-5	2.1E-5	1.8E-5	2.0E-5	2.1E-5	1.9E-5	2.0E-4	2.0E-5	2.1E-5	2.2E-5	1.8E-5	2.1E-5	1.6E-5	1.4E-5	2.1E-5	0.0E+0
		Female	2.8E-4	2.0E-5	1.5E-5	2.1E-5	2.5E-5	7.5E-5	0.0E+0	2.5E-5	2.1E-5	2.3E-4	2.2E-5	3.1E-3	2.5E-5	2.5E-5	3.0E-5	2.1E-5	2.3E-5	2.5E-5	2.2E-5	2.4E-4	2.4E-5	2.5E-5	2.5E-5	2.1E-5	0.0E+0	2.0E-5	1.8E-5	2.5E-5	2.5E-5
